,Store Number,City,2015 Sales,2015 Sales mean,County Number,Price per Liter mean,Zip Code,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales Q1,First Date,Last Date
0,2106,CEDAR FALLS,146038.7,277.640114068,7,17.8449972841,50613,9719.85,18.4788022814,92.6657794677,39287.29,30478.75,2015-01-08,2016-03-31
1,2113,GOWRIE,9310.22,63.334829932,94,18.5077000324,50543,659.85,4.4887755102,21.1499319728,2833.25,2065.9,2015-01-07,2016-03-23
2,2130,WATERLOO,111583.91,285.38084399,7,16.8175889051,50703,6879.37,17.5942966752,95.2156521739,24272.57,27856.11,2015-01-08,2016-03-31
3,2152,ROCKWELL,7721.08,54.7594326241,17,13.020765122,50469,633.37,4.4919858156,18.3512765957,2003.46,904.66,2015-01-08,2016-02-25
4,2178,WAUKON,24324.18,102.633670886,3,16.0538441186,52172,1917.12,8.08911392405,34.4544303797,5856.41,5588.5,2015-01-07,2016-03-30
5,2190,DES MOINES,121689.06,92.5392091255,77,23.3062274825,50314,6322.17,4.8077338403,30.8880076046,29452.92,31803.06,2015-01-05,2016-03-31
6,2191,KEOKUK,125093.49,209.88840604,56,19.0640531492,52632,8053.32,13.5122818792,70.0409228188,29085.57,47338.2,2015-01-05,2016-03-28
7,2200,SAC CITY,22811.55,56.6043424318,81,16.7069689267,50583,1817.24,4.50928039702,18.9912406948,4900.43,4174.87,2015-01-07,2016-03-30
8,2205,CLARINDA,24623.01,85.7944599303,73,19.0937125916,51632,1555.41,5.41954703833,28.6573867596,6407.74,3086.38,2015-01-06,2015-12-28
9,2228,WINTERSET,17462.07,72.758625,61,17.8901010338,50273,1367.65,5.69854166667,24.3514166667,5193.97,6522.65,2015-01-06,2016-03-29
10,2233,SPIRIT LAKE,29553.34,122.627966805,30,19.9450824936,51360,2480.69,10.2933195021,40.9404979253,5374.55,409.32,2015-01-06,2016-03-29
11,2238,ALTOONA,11762.56,192.828852459,77,22.5507494145,50009,705.75,11.5696721311,64.3057377049,858.61,13998.44,2015-01-13,2016-01-21
12,2248,DES MOINES,67682.06,147.134913043,77,28.8186198545,50312,2815.35,6.12032608696,49.0967608696,12663.68,12238.81,2015-01-08,2016-03-31
