,Company Name,Job Title,City,State,Sal_min,Sal_max,Sal_avg
37,Centers for Disease Control and Prevention,Behavioral Scientist,Atlanta,GA,74260.0,96538.0,85399.0
48,Analytic Recruiting,Junior Data Scientist,Alpharetta,GA,75000.0,90000.0,82500.0
50,Smith Hanley Associates,Marketing Statistician,Atlanta,GA,75000.0,100000.0,87500.0
84,Analytic Recruiting,Senior Data Scientist,Atlanta,GA,100000.0,125000.0,112500.0
98,Stackfolio,Lead Data Scientist,Atlanta,GA,80000.0,,80000.0
129,Analytic Recruiting,Data Scientist - Supply Chain,Atlanta,GA,70000.0,145000.0,107500.0
130,Emory University,Staff Scientist (Goldsmith Lab),Atlanta,GA,85500.0,,85500.0
144,Centers for Disease Control and Prevention,Statistician (Health),Atlanta,GA,88305.0,114802.0,101553.5
153,CSTE,Associate Research Analyst,Atlanta,GA,51706.0,,51706.0
172,SearchBankingJobs,Lead Quantitative Analyst,Atlanta,GA,150000.0,205000.0,177500.0
203,Emory University,"Scientist, Med Imag Analysis",Atlanta,GA,69900.0,,69900.0
214,Synergy Search Group,Audit Snr (Banking) - Data Analysis 60K-80K,Atlanta,GA,80000.0,,80000.0
279,Georgia Department of Public Health,Laboratory Aide 3,Atlanta,GA,24000.0,,24000.0
424,Emory University,Sponsored Research Financial Analyst,Atlanta,GA,66700.0,,66700.0
425,Interesse International Inc,Market Research & Sales Analyst,Atlanta,GA,60000.0,70000.0,65000.0
761,Identifize Consulting,Superstar Senior Quantitative Finance Analyst,Charlotte,NC,175000.0,,175000.0
785,Selby Jennings,SVP Quantitative Analyst - Multiple Vacancies,Charlotte,NC,150000.0,,150000.0
786,Selby Jennings,Quantitative Analyst - Multiple Vacancies,Charlotte,NC,150000.0,,150000.0
805,Selby Jennings,Quantitative Credit Risk Analyst,Charlotte,NC,150000.0,,150000.0
806,Selby Jennings,Quantitative Financial Analyst - VP,Charlotte,NC,150000.0,,150000.0
1452,"NewAgeSys,Inc",Biochemist (Scientist II) Merck,Kenilworth,NJ,50000.0,,50000.0
1456,Rang Technologies Inc.,Data Scientist,Piscataway,NJ,80000.0,,80000.0
1469,"NewAgeSys,Inc",Scientist II (Pfizer),Parsippany,NJ,55000.0,,55000.0
1481,Driversiti,Full-Stack Dev Data Viz - Pythonic Design,RochellePark,NJ,100000.0,,100000.0
1498,Scienaptic Systems Inc,Data Scientist,NewYork,NY,100000.0,,100000.0
1515,Wade & Wendy,Wade & Wendy_Data Scientist/Engineer,NewYork,NY,80000.0,120000.0,100000.0
1527,Oliver James Associates,"Program Manager - Data Science - New York City - $165,000",NewYork,NY,165000.0,,165000.0
1571,Beeswax,Senior / Director Data Science,NewYork,NY,130000.0,165000.0,147500.0
1573,Real Staffing,Clinical Research Scientist,Union,NJ,166400.0,,166400.0
1590,Harris Allied,Quantitative Research/Data Analyst,NewYork,NY,140000.0,,140000.0
1623,Harnham,Senior Data Scientist - Bio-tech,NewYork,NY,170000.0,,170000.0
1683,Selby Jennings,Quantitative Researcher – Machine Learning,NewYork,NY,200000.0,250000.0,225000.0
1698,Harnham,Senior Data Scientist,NewYork,NY,200000.0,,200000.0
1721,"NewAgeSys,Inc",Biochemist (Scientist II) Merck,Kenilworth,NJ,50000.0,,50000.0
1725,Rang Technologies Inc.,Data Scientist,Piscataway,NJ,80000.0,,80000.0
1796,Averity,Mid-level Data Scientist For Top Travel Company,NewYork,NY,90000.0,100000.0,95000.0
1797,CONSUMER AFFAIRS,"Modeler/Data Scientist, Policy and Strategy",Manhattan,NY,59708.0,72246.0,65977.0
1799,DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst, Bureau of Mental Health/Research and Evaluatio...",NewYork,NY,70286.0,88213.0,79249.5
1803,POLICE DEPARTMENT,Data Analytics Research Scientist,NewYork,NY,70286.0,88213.0,79249.5
1818,HOUSING PRESERVATION & DVLPMNT,Technical Researcher,NewYork,NY,70286.0,,70286.0
1819,HRA/DEPT OF SOCIAL SERVICES,SENIOR RESEARCH ASSOCIATE,Manhattan,NY,78630.0,90000.0,84315.0
1828,DEPT OF ENVIRONMENT PROTECTION,Water Quality Analyst,NewYork,NY,70286.0,88213.0,79249.5
1841,Averity,Senior Statistician for Fortune 500 Company,NewYork,NY,100000.0,120000.0,110000.0
1842,Selby Jennings,Senior Data Scientist,NewYork,NY,135000.0,200000.0,167500.0
1845,Averity,Lead Data Scientist,NewYork,NY,120000.0,140000.0,130000.0
1846,Princeton Consulting,Data Scientist,NewYork,NY,110000.0,275000.0,192500.0
1849,NYC Department of Buildings,"Research Analyst, Risk",Manhattan,NY,63817.0,74000.0,68908.5
1858,DEPARTMENT OF TRANSPORTATION,Bike Share Data Scientist,Manhattan,NY,60189.0,83440.0,71814.5
1865,Averity,"Vice President, Data Scientist - Leading International Advis...",NewYork,NY,150000.0,200000.0,175000.0
1874,Selby Jennings,Quantitative Analyst - Multiple Vacancies,NewYork,NY,120000.0,,120000.0
1876,Pro Partners Staffing,Investment Advisory Research Analyst,NewYork,NY,90000.0,,90000.0
1888,Averity,Lead Data Scientist - Top Data Consultancy,NewYork,NY,120000.0,160000.0,140000.0
1905,Smith Hanley Associates,Director of Data Science,NewYork,NY,140000.0,160000.0,150000.0
1907,Workbridge Associates,Chief Data Scientist,NewYork,NY,110000.0,140000.0,125000.0
1918,Averity,"Data Scientist, Quant Developer for $10B Asset Manager",NewYork,NY,120000.0,150000.0,135000.0
1930,Averity,Quantitative Research Analyst for Multi-Billion Dollar Hedge...,NewYork,NY,150000.0,200000.0,175000.0
1938,DEPT OF HEALTH/MENTAL HYGIENE,"Panel Maintenance Analyst, World Trade Center Health Registr...",Manhattan,NY,59708.0,72246.0,65977.0
1954,Big Cloud,Data Scientist,NewYork,NY,150000.0,,150000.0
1963,Averity,Lead Data Scientist (New Jersey),NewYork,NY,130000.0,170000.0,150000.0
1996,Driversiti,"Full-Stack Developer - Sophisticated Analytics, Pythonic Des...",Hoboken,NJ,100000.0,,100000.0
2036,POLICE DEPARTMENT,"CITY RESEARCH SCIENTIST, LEVEL II",NewYork,NY,68239.0,85644.0,76941.5
2044,Harnham,"VP, Data Scientist - Banking",NewYork,NY,180000.0,,180000.0
2057,DEPARTMENT OF FINANCE,Policy Data Analyst,Manhattan,NY,68239.0,80000.0,74119.5
2059,Averity,"Senior Data Scientist for Innovative, Top-Ranked Global Comp...",NewYork,NY,100000.0,120000.0,110000.0
2066,DEPT OF INFO TECH & TELECOMM,Manager of Statistical Data,Manhattan,NY,53051.0,105000.0,79025.5
2071,StreetID,Quantitative Analyst,NewYork,NY,120000.0,,120000.0
2081,Animalz,Research Analyst,NewYork,NY,40000.0,,40000.0
2100,Smith Arnold Partners,Research Analyst,NewYork,NY,50000.0,65000.0,57500.0
2111,"NewAgeSys,Inc",Biochemist (Scientist II) Merck,Kenilworth,NJ,50000.0,,50000.0
2115,Rang Technologies Inc.,Data Scientist,Piscataway,NJ,80000.0,,80000.0
2141,"NewAgeSys,Inc",Biochemist (Scientist II) Merck,Kenilworth,NJ,50000.0,,50000.0
2145,Rang Technologies Inc.,Data Scientist,Piscataway,NJ,80000.0,,80000.0
2157,DEPT OF ENVIRONMENT PROTECTION,Water Demand Projections Manager,NewYork,NY,59708.0,72246.0,65977.0
2158,Averity,Tableau Developer for Global Organization,NewYork,NY,70000.0,90000.0,80000.0
2159,Averity,Senior Data Scientist for Global Travel Company,NewYork,NY,100000.0,120000.0,110000.0
2177,ETS Inc.,Statistician (SAS / SQL),Elizabeth,NJ,115000.0,,115000.0
2186,Averity,Senior Systematic Quantitative Analyst - Multi-billion Dolla...,NewYork,NY,180000.0,220000.0,200000.0
2207,Workbridge Associates,Senior Data Scientist,Chicago,IL,130000.0,,130000.0
2217,Workbridge Associates,Data Scientist,Chicago,IL,130000.0,,130000.0
2240,Jobspring Partners,Natural Language Processing Data Scientist,Chicago,IL,65000.0,80000.0,72500.0
2253,Selby Jennings,Senior Data Scientist,Chicago,IL,125000.0,175000.0,150000.0
2281,Workbridge Associates,Director of Data Science,Chicago,IL,180000.0,,180000.0
2330,Metropolitan Water Reclamation District of Greater...,Senior Environmental Soil Scientist,Chicago,IL,93257.0,137114.0,115185.5
2340,Hirewell,Data Scientist,Chicago,IL,85000.0,,85000.0
2353,Hirewell,Data Scientist -Fitness/Wellness Firm,Chicago,IL,120000.0,,120000.0
2358,Silva Capital Management,Quantitative Analyst,Chicago,IL,125000.0,,125000.0
2359,Workbridge Associates,Data Scientist (Healthcare Data),Chicago,IL,110000.0,,110000.0
2374,AE Business Solutions,Data Scientist / Data Analyst Consultant,Chicago,IL,85.0,100.0,92.5
2389,Selby Jennings,Senior Quantitative Risk Analyst,Chicago,IL,120.0,,120.0
2463,GinasTechJobs.com,Associate Quantitative Research Analyst,Chicago,IL,180000.0,,180000.0
2472,Metropolitan Water Reclamation District of Greater...,Supervising Environmental Soil Scientist,Chicago,IL,104674.0,151358.0,128016.0
2473,Selby Jennings,Data Scientist – Big Data/Artificial Intelligence,Chicago,IL,135000.0,165000.0,150000.0
2479,Huxley Banking & Financial Services,Quantitative Risk Analyst,Chicago,IL,110000.0,,110000.0
2501,Analytic Recruiting,Lead Data Scientist,Chicago,IL,140000.0,,140000.0
