,Company Name,Job Title,Location,Salary
0,Predictive Science,Data Scientist,United States,
1,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
2,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
3,"Vision3 Solutions, Inc",Data Scientist- Big Data,"Atlanta, GA",$90 an hour
4,"eTek IT Services, Inc.",Big Data Engineer,"Atlanta, GA",$67 an hour
5,Deloitte,Federal Mission Analytics Data Scientist - Senior Consultant,"Atlanta, GA",
6,LexisNexis,Associate Statistical Modeler,"Alpharetta, GA 30005",
7,Google,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...","Atlanta, GA",
8,Reed Elsevier,Associate Statistical Modeler,"Alpharetta, GA",
9,Vesta Corporation,Senior Data Scientist,"Atlanta, GA 30303 (Five Points area)",
10,Cox Automotive,Senior Data Scientist,"Atlanta, GA",
11,Northrop Grumman,Scientific Data Analyst,"Atlanta, GA",
12,"Wiser Wealth Management, Inc",Research / Financial Analyst Intern,"Marietta, GA 30060",
13,Cox Automotive,Data Scientist,"Atlanta, GA",
14,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
15,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
16,Cox Automotive,Data Scientist,"Atlanta, GA",
17,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
18,ICF,Scientific Data Analyst,"Atlanta, GA",
19,Ashton212,Quantitative Analyst | #769,"Atlanta, GA",
20,Honeywell,Analytics DevOps Engineer,"Atlanta, GA",
21,GE Power,IT Project Manager – Sourcing BI,"Atlanta, GA",
22,Northrop Grumman,HAI Prevention Data Analyst,"Atlanta, GA",
23,Lockheed Martin,Research Scientist Senior,"Marietta, GA 30063",
24,"Eagle Medical Services, LLC",Data Analyst,"Atlanta, GA",
25,Cardlytics Corporation,Principal Data Engineer,"Atlanta, GA",
26,Turner,"Manager, Consumer Insights & Statistical Analysis","Atlanta, GA 30319",
27,Honeywell,Big Data Architect,"Atlanta, GA",
28,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
29,Predictive Science,Data Scientist,United States,
30,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
31,Cox Automotive,Data Scientist,"Atlanta, GA",
32,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
33,NCR,Data Scientist-1,"Duluth, GA 30096",
34,AB Sciex Pte,Informatics Technical Specialist,"Atlanta, GA",
35,SunTrust,Quantitative Analyst,"Atlanta, GA",
36,GE Power,Staff Analytics Engineer – Installed Base,"Atlanta, GA",
37,Centers for Disease Control and Prevention,Behavioral Scientist,"Atlanta, GA","$74,260 - $96,538 a year"
38,Capgemini,"Sr. Manager, Data Science","Atlanta, GA",
39,Epsilon,Senior Statistician,"Atlanta, GA 30346",
40,Keysight Technologies,Machine Learning Researcher,"Atlanta, GA",
41,Mckesson,Data Engineer,"Alpharetta, GA 30005",
42,Macy's,Senior Developer - Machine Learning,"Atlanta, GA",
43,Honeywell,"Principal Data Scientist - Atlanta, GA","Atlanta, GA",
44,Predictive Science,Data Scientist,United States,
45,Home Depot,DATA SCIENTIST,"Atlanta, GA 30354",
46,Cox Automotive,Data Scientist,"Atlanta, GA",
47,MobileDev Power,Data Scientist With Predictive Modeling,"Atlanta, GA 30305",
48,Analytic Recruiting,Junior Data Scientist,"Alpharetta, GA","$75,000 - $90,000 a year"
49,LexisNexis,Sr Statistical Modeler,"Alpharetta, GA 30005",
50,Smith Hanley Associates,Marketing Statistician,"Atlanta, GA","$75,000 - $100,000 a year"
51,McKinsey & Company,Senior Personnel Data Scientist/Analyst,"Atlanta, GA 30318 (Rockdale area)",
52,Bluefusioninc,Operations Research Analyst,"Atlanta, GA",
53,CHASE Professionals,Data Scientist/ Data Analyst,"Duluth, GA 30096",
54,Capgemini,"Manager, Data Science","Atlanta, GA",
55,KPMG,Manager - Health Care Analytics,"Atlanta, GA 30338",
